%单胞内颗粒个数和体积分数
202 0.100113
%单胞起始点坐标
0 0 0
%单胞长宽高
1 1 1
%输出椭球15个参数:椭球中心坐标、尺寸、方位角
0.114092 0.157109 0.0528646 0.08 0.04 0.04 0.585533 0.726638 -0.359371 0.753144 -0.323631 0.572746 0.299876 -0.60602 -0.73676
0.208444 0.794748 0.315626 0.08 0.04 0.04 0.767434 0.629317 0.122494 0.640269 -0.762175 -0.0956319 0.0331792 0.15182 -0.987851
0.00192057 0.337703 0.743984 0.08 0.04 0.04 -0.586745 0.340156 -0.734863 0.483507 0.875133 0.0190322 0.649577 -0.344145 -0.677948
0.177593 0.780574 0.588226 0.08 0.04 0.04 0.567573 0.808564 -0.155193 0.798544 -0.494726 0.342889 0.20047 -0.318543 -0.926468
0.973081 0.0282552 0.19675 0.08 0.04 0.04 0.284561 0.956033 -0.0708995 0.857343 -0.220699 0.465032 0.428938 -0.193115 -0.88245
0.0460612 0.300563 0.00807292 0.08 0.04 0.04 0.964252 0.25816 0.0597633 0.11212 -0.601827 0.790717 0.240099 -0.75575 -0.609258
0.0551758 0.0230469 0.438049 0.08 0.04 0.04 -0.828313 -0.151633 -0.539357 0.42876 0.448117 -0.784447 0.360643 -0.881022 -0.306167
0.646442 0.409577 0.850218 0.08 0.04 0.04 0.758178 0.620831 0.199336 0.575547 -0.780864 0.242893 0.30645 -0.0694288 -0.949351
0.0480143 0.711284 0.293859 0.08 0.04 0.04 -0.372744 0.431297 -0.821611 0.180081 0.902208 0.391907 0.910293 -0.00187558 -0.413961
0.607121 0.136023 0.794429 0.08 0.04 0.04 0.00346554 0.757104 0.653286 0.00111778 -0.653292 0.757105 0.999993 -0.00189355 -0.00311029
0.653599 0.010026 0.279372 0.08 0.04 0.04 -0.797047 0.0632349 -0.600598 0.470057 0.689342 -0.55123 0.37916 -0.721671 -0.579162
0.871768 0.666759 0.601023 0.08 0.04 0.04 -0.54561 0.625376 -0.557866 0.675841 0.721965 0.148342 0.495529 -0.296092 -0.816566
0.775555 0.421258 0.461592 0.08 0.04 0.04 -0.576126 0.803489 0.149946 0.81068 0.538312 0.230255 0.104289 0.254214 -0.961509
0.16868 0.80879 0.0101563 0.08 0.04 0.04 -0.541882 0.837785 0.0669386 0.571382 0.308819 0.760364 0.616349 0.450275 -0.646039
0.901545 0.906196 0.873507 0.08 0.04 0.04 -0.280519 0.214335 -0.935612 0.150703 0.972495 0.1776 0.947944 -0.0911791 -0.305105
0.158829 0.574755 0.33943 0.08 0.04 0.04 0.908844 0.409753 0.0781379 0.154032 -0.50374 0.850012 0.387656 -0.760492 -0.520936
0.668211 0.056901 0.739307 0.08 0.04 0.04 0.709337 -0.561974 0.425472 0.0561259 -0.55667 -0.828835 0.702631 0.611804 -0.363326
0.940142 0.283414 0.690224 0.08 0.04 0.04 0.361919 0.160453 0.918297 0.756572 -0.626066 -0.188788 0.544623 0.763084 -0.347979
